['320193', 'APPLE INC', '4', '2011-04-04', 'edgar/data/320193/0001181431-11-022115.txt', 'edgar/data/320193/0001181431-11-022115-index.html']
['320193', 'APPLE INC', '4', '2011-04-19', 'edgar/data/320193/0001181431-11-024652.txt', 'edgar/data/320193/0001181431-11-024652-index.html']
['320193', 'APPLE INC', '4', '2011-04-19', 'edgar/data/320193/0001181431-11-024654.txt', 'edgar/data/320193/0001181431-11-024654-index.html']
['320193', 'APPLE INC', '4', '2011-04-26', 'edgar/data/320193/0001181431-11-025501.txt', 'edgar/data/320193/0001181431-11-025501-index.html']
['320193', 'APPLE INC', '4', '2011-04-26', 'edgar/data/320193/0001181431-11-025502.txt', 'edgar/data/320193/0001181431-11-025502-index.html']
['320193', 'APPLE INC', '4', '2011-04-28', 'edgar/data/320193/0001181431-11-025994.txt', 'edgar/data/320193/0001181431-11-025994-index.html']
['320193', 'APPLE INC', '4', '2011-05-04', 'edgar/data/320193/0001181431-11-027205.txt', 'edgar/data/320193/0001181431-11-027205-index.html']
['320193', 'APPLE INC', '4', '2011-05-04', 'edgar/data/320193/0001181431-11-027206.txt', 'edgar/data/320193/0001181431-11-027206-index.html']
['320193', 'APPLE INC', '4', '2011-05-23', 'edgar/data/320193/0001181431-11-032000.txt', 'edgar/data/320193/0001181431-11-032000-index.html']
['320193', 'APPLE INC', '4', '2011-06-01', 'edgar/data/320193/0001181431-11-034001.txt', 'edgar/data/320193/0001181431-11-034001-index.html']
['320193', 'APPLE INC', '4', '2011-06-02', 'edgar/data/320193/0001181431-11-034500.txt', 'edgar/data/320193/0001181431-11-034500-index.html']
['320193', 'APPLE INC', '8-K', '2011-04-20', 'edgar/data/320193/0001193125-11-103732.txt', 'edgar/data/320193/0001193125-11-103732-index.html']
['320193', 'APPLE INC', '8-K', '2011-06-15', 'edgar/data/320193/0001181431-11-036782.txt', 'edgar/data/320193/0001181431-11-036782-index.html']
['320193', 'APPLE INC', 'UPLOAD', '2011-04-25', 'edgar/data/320193/0000000000-11-025682.txt', 'edgar/data/320193/0000000000-11-025682-index.html']
['320193', 'APPLE INC', 'UPLOAD', '2011-06-29', 'edgar/data/320193/0000000000-11-039549.txt', 'edgar/data/320193/0000000000-11-039549-index.html']
['320193', 'APPLE INC', '10-Q', '2011-07-20', 'edgar/data/320193/0001193125-11-192493.txt', 'edgar/data/320193/0001193125-11-192493-index.html']
['320193', 'APPLE INC', '3', '2011-09-02', 'edgar/data/320193/0001181431-11-048010.txt', 'edgar/data/320193/0001181431-11-048010-index.html']
['320193', 'APPLE INC', '4', '2011-07-05', 'edgar/data/320193/0001181431-11-039942.txt', 'edgar/data/320193/0001181431-11-039942-index.html']
